Nx,Nt,Sigma,Rho_d,B_d,Price True @S0,Price FDM @S0,Delta True @S0,Delta FDM @S0,Gamma True @S0,Gamma FDM @S0,Runtime (s)
200,500,0.15,0.002,99.8,0.484456465282463,0.48133860217419394,2.4009380428218208,2.3993857036078374,-0.21135446814923853,-0.19659639956102662,0.01003619999755756
200,500,0.15,0.15,85.0,11.57076715947774,11.570201154194388,0.7940589583714797,0.7940686160576647,0.014834800055041342,0.01478965766367535,0.005571600002440391
200,500,0.25,0.002,99.8,0.3432783158381838,0.3424747199050353,1.710925802782981,1.710705685405527,-0.05438286621028965,-0.052385766013992585,0.005478200000652578
200,500,0.25,0.15,85.0,13.563142807937929,13.562861079514885,0.8420131661610597,0.8420204498640689,-0.00014879653065236198,-0.0005587987295570567,0.005453800000395859
200,500,0.4,0.002,99.8,0.2784993330092931,0.2782638359860834,1.390761168032384,1.3908172327149413,-0.017301218235843407,-0.016907307437073364,0.005454199999803677
200,500,0.4,0.15,85.0,14.813006228919651,14.810885443566907,0.9360798365687373,0.935874570110054,-0.0038544420988273487,-0.004063142213459493,0.005442800000309944
400,1000,0.15,0.002,99.8,0.484456465282463,0.4840491951970223,2.4009380428218208,2.4011409350464206,-0.21135446814923853,-0.2068509436304788,0.012843099997553509
400,1000,0.15,0.15,85.0,11.57076715947774,11.570635466764388,0.7940589583714797,0.7940616265170569,0.014834800055041342,0.014822700996539146,0.012652299999899697
400,1000,0.25,0.002,99.8,0.3432783158381838,0.34317261061097004,1.710925802782981,1.7109507441673237,-0.05438286621028965,-0.05378125112165158,0.01274339999872609
400,1000,0.25,0.15,85.0,13.563142807937929,13.563074649453382,0.8420131661610597,0.842015660502487,-0.00014879653065236198,-0.0003471534936495248,0.012592700000823243
400,1000,0.4,0.002,99.8,0.2784993330092931,0.278485729722963,1.390761168032384,1.3908662036938693,-0.017301218235843407,-0.017183867682663733,0.01336749999973108
400,1000,0.4,0.15,85.0,14.813006228919651,14.810966227967272,0.9360798365687373,0.935873454685836,-0.0038544420988273487,-0.003964298392595799,0.014555099998688092
800,2000,0.15,0.002,99.8,0.484456465282463,0.4842883808775091,2.4009380428218208,2.401062768736164,-0.21135446814923853,-0.21218621914561087,0.03811080000014044
800,2000,0.15,0.15,85.0,11.57076715947774,11.570738927642555,0.7940589583714797,0.794059611920398,0.014834800055041342,0.01483129661680044,0.038717699997505406
800,2000,0.25,0.002,99.8,0.3432783158381838,0.34323487968343164,1.710925802782981,1.7109418226056992,-0.05438286621028965,-0.0544917012447545,0.035202399998524925
800,2000,0.25,0.15,85.0,13.563142807937929,13.563126836452577,0.8420131661610597,0.8420140961246354,-0.00014879653065236198,-0.0002442959201573171,0.036170399998809444
800,2000,0.4,0.002,99.8,0.2784993330092931,0.2785055822735836,1.390761168032384,1.390864544747251,-0.017301218235843407,-0.0173235428882401,0.03506130000096164
800,2000,0.4,0.15,85.0,14.813006228919651,14.810986631388145,0.9360798365687373,0.9358730325715089,-0.0038544420988273487,-0.003915407296076666,0.03576009999960661
1200,3000,0.15,0.002,99.8,0.484456465282463,0.4843687291792178,2.4009380428218208,2.400987433779136,-0.21135446814923853,-0.21218131496706139,0.06443750000107684
1200,3000,0.15,0.15,85.0,11.57076715947774,11.570756574499594,0.7940589583714797,0.7940592306986664,0.014834800055041342,0.014833034399088908,0.06642400000055204
1200,3000,0.25,0.002,99.8,0.3432783158381838,0.34325567101479826,1.710925802782981,1.7109321280148508,-0.05438286621028965,-0.05449156256070659,0.0631046000016795
1200,3000,0.25,0.15,85.0,13.563142807937929,13.563136144498177,0.8420131661610597,0.8420137070193134,-0.00014879653065236198,-0.00021044419774969027,0.0631506999998237
1200,3000,0.4,0.002,99.8,0.2784993330092931,0.278512202592629,1.390761168032384,1.3908626606418815,-0.017301218235843407,-0.017323549056041544,0.06432990000030259
1200,3000,0.4,0.15,85.0,14.813006228919651,14.810990471393115,0.9360798365687373,0.9358729086100616,-0.0038544420988273487,-0.0038991887109691937,0.06284489999961806
1600,4000,0.15,0.002,99.8,0.484456465282463,0.48440901995862384,2.4009380428218208,2.400961065307463,-0.21135446814923853,-0.21217959819820806,0.1012044999988575
1600,4000,0.15,0.15,85.0,11.57076715947774,11.57076224050327,0.7940589583714797,0.794059100335083,0.014834800055041342,0.014833695747834275,0.10094240000034915
1600,4000,0.25,0.002,99.8,0.3432783158381838,0.3432660732640984,1.710925802782981,1.7109287345204054,-0.05438286621028965,-0.054491513961003386,0.09968820000358392
1600,4000,0.25,0.15,85.0,13.563142807937929,13.56313928245324,0.8420131661610597,0.8420135381134052,-0.00014879653065236198,-0.00019359929792488905,0.09912589999657939
1600,4000,0.4,0.002,99.8,0.2784993330092931,0.2785155132819524,1.390761168032384,1.390862001110316,-0.017301218235843407,-0.017323551195297764,0.10124820000055479
1600,4000,0.4,0.15,85.0,14.813006228919651,14.810991836591462,0.9360798365687373,0.9358728495196316,-0.0038544420988273487,-0.0038910941002013163,0.0992045999992115
