Variant,Group,Median RE (%),95th RE (%),Worst-case RE (%),Delta error,Gamma error,Barrier residual,Positivity violation,Success rate,Training time (s)
Naive PINN,Failure baseline,63.33671491080135,203.3189019353954,1332.3720537622103,0.3078154749918127,0.5847680846216008,3.8361839950084686,0.05,0.0,27.10030430000006
Raw S-space,Coordinate choice,99.99999999998951,99.99999999999658,99.99999999999757,1.208666820835093,0.0181620620764901,8.37810594282673e-18,0.0,0.0,252.18870319999996
x = S/K,Coordinate choice,4.415118834689539,6.163333973414117,38.50400784458288,0.050318415246941584,0.01675398397793515,9.46798266454607e-06,0.0,0.0,175.02913949999993
y = ln(S/K),Coordinate choice,3.72849247392352,4.820952025790325,39.275103258679124,0.062061552981163004,0.015151468524265965,9.665566125249825e-06,0.0,0.0,173.7902196
Soft BC,Ansatz,80.39570962616298,104.69605082258462,1300.4638414440092,1.1775094241013306,0.02492194539627235,6.356441229581833,0.2625,0.0,36.02869510000028
Hard barrier only,Ansatz,4.924642618463521,6.469663334960307,25.053145718603325,0.056116337070477584,0.015109132611712539,1.0203734746028204e-05,0.0,0.0,155.08851269999968
Hard barrier + positivity,Ansatz,5.945971865089384,7.467593667769599,43.730270555139406,0.03783968507775626,0.014428330530336098,1.0099977743038835e-05,0.0,0.0,174.9440883000002
No refinement,BAAC,10.549007424737392,21.084659562435327,77.27222337052639,0.07085976009779671,0.03345704602253363,1.158427025416131e-05,0.0,0.0,30.240550900000017
Static oversampling,BAAC,5.359725029332639,8.15578253212803,26.0752843138558,0.06997333544944695,0.018418480074444687,8.605447021636792e-06,0.0,0.0,94.58213599999999
Residual refinement,BAAC,4.306743969989029,5.144904617711067,38.68462150291273,0.04783859151036296,0.01592425302732181,9.462493721912324e-06,0.0,0.0,148.53782490000003
Full BAAC,BAAC,3.6450826079760392,4.911740727666746,41.39733653729789,0.04313427241342538,0.01409849303968258,9.684279689281539e-06,0.0,0.0,191.92817490000016
