Model,Region,Residual q95
FDM,near_barrier,10962.019997383903
FDM,near_strike,0.19772657078145942
FDM,smooth,0.126954013620026
FDM,far_field,0.0
Supervised,near_barrier,7831.793814848742
Supervised,near_strike,22.423143506050963
Supervised,smooth,8.900475120544328
Supervised,far_field,0.0
Differential,near_barrier,8021.513998389206
Differential,near_strike,17.6292676728586
Differential,smooth,7.63620114326454
Differential,far_field,0.0
PINN,near_barrier,12335.360096404993
PINN,near_strike,6.47728328267589
PINN,smooth,10.312580058221613
PINN,far_field,0.0
