N,Avg_FDM(s),Avg_PINN(s),Avg_Supervised(s)
1,0.003451029999905586,191.92832792000027,120.43042607499937
10,0.003451029999905586,19.192970510000123,12.043200445000002
100,0.003451029999905586,1.9194347690001086,1.2044778820000648
1000,0.003451029999905586,0.19208119490010722,0.12060562570007095
5000,0.003451029999905586,0.03853865498010709,0.024261425140071513
10000,0.003451029999905586,0.019345837490107078,0.012218400070071585
20000,0.003451029999905586,0.00974942874510707,0.006196887535071619
50000,0.003451029999905586,0.003991583498107066,0.0025839800140716397
100000,0.003451029999905586,0.002072301749107064,0.0013796775070716468
