N,T_FDM(s),T_PINN(s),T_Supervised(s)
1,0.003451029999905586,191.92832792000027,120.43042607499937
10,0.03451029999905586,191.92970510000123,120.43200445000002
100,0.3451029999905586,191.94347690001086,120.44778820000647
1000,3.451029999905586,192.08119490010722,120.60562570007096
5000,17.25514999952793,192.69327490053547,121.30712570035757
10000,34.51029999905586,193.45837490107078,122.18400070071584
20000,69.02059999811172,194.9885749021414,123.93775070143238
50000,172.5514999952793,199.57917490535328,129.199000703582
100000,345.1029999905586,207.2301749107064,137.96775070716467
